year,el_ratio,gearing_ratio
2022,22.0,68.09
2021,20.9,67.82
2020,22.0,64.72
2019,22.3,63.46
2018,22.8,61.61
2017,23.2,60.79
2016,24.0,58.73
2015,25.8,56.27
2014,26.6,59.23
2013,28.0,57.45
2012,29.0,58.53
2011,28.8,60.1
2010,31.6,55.25
2009,32.8,49.37
2008,37.0,45.91
2007,36.7,45.35
2006,33.9,47.94
2005,30.3,49.33
2004,31.9,50.96
2003,25.7,55.3
2002,22.5,58.46
2001,21.9,57.42
2000,21.0,58.59
1999,20.8,57.49
1998,22.0,52.92
1997,21.7,53.74
1996,20.7,56.59
1995,18.5,64.88
1994,19.9,59.59
1993,18.7,59.0
1992,19.2,61.68
1991,19.7,60.48
1990,18.9,65.84
1989,19.7,62.52
1988,16.9,82.26
1987,16.2,82.2
1986,17.2,71.47
1985,21.0,64.64
1984,21.5,62.35
1983,21.9,60.04
1982,22.6,62.3
1981,23.1,65.29
1980,22.6,62.29
1979,23.5,57.19
1978,24.9,54.7
1977,28.0,47.71
1976,32.5,41.2
1975,24.0,39.1
1974,27.3,33.99
1973,29.0,31.33
1972,32.4,29.16
1971,34.9,27.22
1970,37.9,25.37
1969,39.7,23.93
1968,42.8,22.29
1967,46.5,20.45
1966,51.6,18.51
1965,56.3,17.25
1964,60.8,15.98
1963,64.1,15.06
1962,66.3,14.16
1961,64.6,14.21
1960,63.2,14.17
